Escola;Bairro;Endereco;Alunos
CE VISCONDE DE QUISSAMA; CENTRO;RUA BARAO DO MONTE DE CEDRO, 593;400
CE BARAO DE MONTE CEDRO; PITEIRAS;RUA BARAO DO MONTE DE CEDRO, 593;400
CIEP BRIZOLAO 465 DR AMILCAR PEREIRA DA SILVA; CAXIAS;RUA EDVAL BARCELOS, 220;400
EE ENGENHO CENTRAL DE QUISSAMA; ENGENHO CENTRAL;RUA EDVAL BARCELOS, 220;400
E M PROFESSORA TANIA REGINA PAULA; PITEIRAS;ESTRADA DO CORREIO IMPERIAL, S N;400
E M DELFICA DE CARVALHO WAGNER; BARRA DO FURADO;ESTRADA DO CORREIO IMPERIAL, S N;400
E M PROFA REGINA CELI PASSOS; CAXIAS;AV FRANCISCO DE A. CARNEIRO DA SILVA, 205;400
EM PROF MARIA DE LOURDES DE CASTRO RIBEIRO; SITIO QUISSAMA;AV FRANCISCO DE A. CARNEIRO DA SILVA, 205;400
E M PROF MIGUEL ANGELO DA SILVA SANTOS; PORTO DA RIBERIA;RUA BELIZARIO ANTONIO DE SOUZA, 736;400
E M PROF MARIA ILKA DE Q E ALMEIDA; SANTA CATARINA;RUA BELIZARIO ANTONIO DE SOUZA, 736;400
CENTRO MUL DE EDUC INFANTIL MANOEL RIBEIRO; CAXIAS;RUA EDVAL BARCELOS, SN�;400
E M PROFA NELITA BARCELOS DOS SANTOS; MORRO ALTO;RUA EDVAL BARCELOS, SN�;400
E M IGNACIO HUGO DE SOUZA; PENHA;ESTRADA DA PENHA, SN�;400
E M CARLOS ROBERTO CRUZ FILIPPINO; SANTA CATARINA;ESTRADA DA PENHA, SN�;400
E M FELIZARDA MARIA CONCEICAO DE AZEVEDO; FAZENDA MACHADINHA;RUA FREI FABIANO, S/N�;400
E M SEMENTES DO FUTURO; CANTO DA SAUDADE;RUA FREI FABIANO, S/N�;400
CENTRO MUL DE EDUC INF RAQUEL MARIA DE Q MATTOSO; SANTA CATARINA;RUA PROJETADA, SN;400
CRECHE MUL RACHEL FRANCISCA C DA SILVA; CENTRO;RUA PROJETADA, SN;400
E M PROF M ELZA C CARNEIRO DA SILVA; FAZENDA SANTA TEREZA;FAZENDA SANTA TEREZA, SN�;400
E M CONDE DE ARARUAMA; CONDE DE ARARUAMA;FAZENDA SANTA TEREZA, SN�;400
E M ANITA PESSANHA DOS SANTOS; LAGOA FEIA;LAGOA FEIA;400
ESCOLA ESTADUAL MUNICIPALIZADA FAZENDA MACHADINHA; FAZ MACHADINHA;LAGOA FEIA;400
COLEGIO CENECISTA NOSSA SENHORA DO DESTERRO; CENTRO;RUA CONDE DE ARARUAMA, 218;400
E M NOSSA SENHORA DA PAZ; PINDOBAS;RUA CONDE DE ARARUAMA, 218;400
E M SALVADOR NASCIMENTO PIO; FAZENDA MACHADO;RUA CONDE DE ARARUAMA, 218;400
